"camstn","elevation_m"
"SM_034",1313.999383622
"SFD_001",883.770940393409
"SFD_002",832.474050367386
"SFD_003",771.024777677947
"SFD_004",723.409472173412
"SFD_005",1800.6924961506
"SFD_006",1108.52058423554
"SFD_007",1770.82439705084
"SFD_008",1832.6565560296
"SFD_009",719.524999795048
"SFD_010",2073.42613557799
"SFD_011",1523.11517619196
"SFD_012",1862.92500644926
"SFD_013",1982.1630272305
"SFD_014",2136.90639194541
"SFD_015",877.311168437857
"SFD_016",1779.94664233529
"SFD_017",1624.9823155347
"SFD_018",966.505462057247
"SFD_019",1348.69191845022
"SFD_020",1269.50394584973
"SFD_021",1637.8665756906
"SFD_022",1007.60836351013
"SFD_023",759.20448026819
"SFD_024",1706.83209607365
"SFD_025",726.573013660988
"SFD_026",764.881968052441
"SFD_027",1045.6460592931
"SFD_028",1719.21502068589
"SFD_029",1760.6942465977
"SJFD_001",456.022228491004
"SJFD_002",1624.25504080519
"SJFD_003",1199.83237100718
"SJFD_004",461.555341721805
"SJFD_005",698.820676965789
"SJFD_006",992.527179170251
"SJFD_007",1561.5267077522
"SJFD_008",856.872472706967
"SJFD_009",413.021024549651
"SJFD_010",239.994953216079
"SJFD_011",1521.88521155618
"SJFD_012",1341.63717082307
"SJFD_013",334.674120155985
"SJFD_014",1449.83199215478
"SJFD_015",1836.64084327127
"SJFD_016",426.829749969661
"SJFD_017",1648.56676056856
"SJFD_018",1458.12866519308
"SJFD_019",254.533982381537
"SJFD_020",1176.4857620681
"SJFD_021",449.447970843174
"SJFD_022",552.864529941515
"SJFD_023",2091.70794548439
"SJFD_024",1296.39591112465
"SJFD_025",2066.1101660204
"SJFD_026",2061.13384674948
"SJFD_027",954.488543976121
"SJFD_028",2095.23159371348
"SWS_001",3917.52669952013
"SWS_002",2692.27758916616
"SWS_003",4246.06534491776
"SWS_004",3846.63877984907
"SWS_005",2802.71971353463
"SWS_006",3678.46936246026
"SWS_008",3938.68171730521
"SWS_009",3740.88812093504
"SWS_010",3733.3112870284
"SWS_011",2625.90939196849
"SWS_012",3123.1249948599
"SWS_013",3608.14199845278
"SWS_014",3802.637531667
"SWS_015",4007.35278808657
"SWS_016",3502.94547241695
"SWS_017",3405.06545869468
"SWS_018",3986.23198720197
"SWS_019",3893.40191511625
"SWS_020",3956.0298174075
"SWS_021",3779.99098129416
"SWS_022",4082.71007213451
"SWS_023",3628.62605637862
"SWS_024",4158.55896899268
"SWS_025",3698.46286981423
"SWS_026",4182.16117936861
"SWS_027",3173.08000535148
"SWS_028",4112.35896256604
"SWS_029",3894.33200316633
"SWS_031",3674.97253866713
"SWS_032",3125.66537358559
"SWS_033",2858.56657618911
"SWS_034",3608.83230554659
"ThD_001",3681.23797415119
"ThD_002",3231.78898187128
"ThD_003",4367.30809462909
"ThD_004",4292.64563314277
"ThD_005",3454.9309617716
"ThD_006",3297.41993193746
"ThD_007",3079.26956244271
"ThD_008",3770.86099113476
"ThD_009",3613.71647045609
"ThD_010",3690.53177609903
"ThD_011",3567.27984893145
"ThD_012",3641.92748203404
"ThD_013",2876.47818663942
"ThD_014",3102.37007212606
"ThD_015",3491.12332685633
